,artist_no_tags,artistGGL,website
151,San Jose State Art in the Community Class,,
152,Jesico,[],
153,Jim Conti,[],
154,Ben Henderson (remove other names from good karma brewery mural),['https://www.instagram.com/ohmaigawd/'],"['https://www.instagram.com/ohmaigawd/', 'https://www.instagram.com/evilrobot42/', 'https://www.instagram.com/drewroulette/', 'https://www.instagram.com/sir.beardo/']"
155,Lila Gemellos,http://www.gemellosmurals.com/,http://www.gemellosmurals.com/
156,Jeff Meadows,['https://www.jeff-meadows.com/'],https://www.instagram.com/jeffmeadows_arts/
157,Stephen Farley,['http://www.tilography.com/'],
158,Tad Savinar,,
159,Francisco Ramirez,https://www.instagram.com/fco1980/,https://www.instagram.com/fco1980/
160,Gerald Heffernon,['https://www.geraldheffernon.com/'],
161,Andrew Leicester (misspell),['https://andrewleicester.com'],
162,Jamie Friedman and Notre Dame High School students,[],
163,Fernando “FORCE129” Amaro Jr' (edit name) ,['http://www.force129.com/'],http://www.force129.com/
164,Brett Snyder and Claire Napawan,['https://grouprojects.com/about/'],
165,Anne Lamborn and Ceevah F.Sobel,['http://www.annelamborn.com/'],
166,Brendan Monroe,['https://www.brendanmonroe.com/'],
167,Michael Boris,[],
168,Paul J. Gonzalez and South Bay Clean Creeks Coalition,"['http://www.sbcleancreeks.com/','http://www.pauljgonzalezartstudios.com/']",http://www.pauljgonzalezartstudios.com/
169,Teddy Cruz,['https://en.wikipedia.org/wiki/Teddy_Cruz'],
170,Horimoto and State of Grace,[],
171,Maria Alguilar,['https://en.wikipedia.org/wiki/Maria_Alquilar'],
172,Ray Beldner,['http://www.raybeldner.com/'],
173,East Los Streetscapers (copy of 134),['http://www.eastlosstreetscapers.org/'],
174,Jorge Camacho,"['https://www.instagram.com/j.duh_/', 'http://www.jduhdesigns.com/bio.html']",
175,Elizabeth Conner,['http://elizabethconner.com/'],
176,Valerie Raps,['http://www.valerieraps.com/'],
177,Various Artists,"['https://www.facebook.com/wisper.t.talamantes','https://www.instagram.com/wispertfl/']",
178,Scape Martinez (copy of 46),http://www.sm-artgroup.com/,http://www.sm-artgroup.com/
179,Carlos Rodriguez,['https://www.carlosrodriguezart.com/'],
180,Lynn Goodpasture,['http://www.lynngoodpasture.com/'],
181,Paul J. Gonzalez,http://www.pauljgonzalezartstudios.com/,http://www.pauljgonzalezartstudios.com/
182,Carlos Rodriguez,['https://www.carlosrodriguezart.com/'],https://www.carlosrodriguezart.com/
183,Bill Fontana,['http://resoundings.org/'],
184,Jackie Brookner (copy of 43),,
185,Carlos Rodriguez and Your Property Next,['https://www.carlosrodriguezart.com/'],https://www.carlosrodriguezart.com/
186,Carlos Rodriguez,['https://www.carlosrodriguezart.com/'],
187,Rigo 23,['https://en.wikipedia.org/wiki/Rigo_23'],https://www.facebook.com/pages/Rigo-23/138554102829939
188,Bj├╢rn Sch├╝lke,['http://www.schuelke.org/'],
189,Robert Glen,['http://www.gobronze.org/artists/glen/glen.html'],
190,Ron Baron,['https://www.ronbaron.net/'],
191,Camille Utterback,['http://camilleutterback.com/'],
192,Kristin Farr,['http://www.kristinfarr.com/'],https://www.instagram.com/kristinfarr/
193,Yurika Chiba,['https://www.yurikachiba.com/''],
194,Robert Graham,['http://www.robertgraham-artist.com/'],
195,Galen Oback,]'http://www.rawartists.org/galenoback'],https://www.instagram.com/galenobackart/
